id_catalog_product,reference,name,brand,color,season,sizes,gender_segment,main_category,sub_category,article_type,score_ec,quantity
18,42419,Gini and Jony Girls Knit White Top,Gini and Jony,White,Summer,"XS,S,M,L,XL",Girls,Apparel,Topwear,Tops,0,1684
19,51832,Bwitch Beige Full-Coverage Bra BW335,Bwitch Beige Full-Coverage Bra BW335,Beige,Summer,"XS,S,M,L,XL",Women,Apparel,Innerwear,Bra,0,5055
20,47359,Baggit Women Brown Handbag,Baggit,Brown,Summer,Unique,Women,Accessories,Bags,Handbags,0,3885
21,17429,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,CASIO G-Shock,Black,Winter,Unique,Men,Accessories,Watches,Watches,0,6896
22,12967,ADIDAS Men Spry M Black Sandals,ADIDAS,Black,Fall,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Sandal,Sandals,0,9166
23,6842,Timberland Unisex Rubber Sole Brush Shoe Accessories,Timberland,Black,Summer,Unique,Unisex,Accessories,Shoe Accessories,Shoe Accessories,0,9774
24,13089,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,ADIDAS,Grey,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Sweatshirts,0,3058
25,9036,Buckaroo Men Flores Black Formal Shoes,Buckaroo,Black,Winter,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Formal Shoes,0,8349
26,48311,Pitaraa Women Bronze Beaded Bracelet,Pitaraa,Bronze,Winter,Unique,Women,Accessories,Jewellery,Bracelet,0,2547
27,7990,Fila Men's Round Neck Navy Blue T-shirt,Fila,Navy Blue,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,3247
28,21977,Murcia Women Casual Brown Handbag,Murcia,Brown,Winter,Unique,Women,Accessories,Bags,Handbags,0,9667
29,37812,John Players Men Navy Blue Shirt,John Players,Navy Blue,Summer,"XS,S,M,L,XL",Men,Apparel,Topwear,Shirts,0,689
30,4729,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,Green,Summer,"XS,S,M,L,XL",Boys,Apparel,Topwear,Tshirts,0,3234
31,56825,John Players Men Brown Shirt,John Players,Brown,Summer,"XS,S,M,L,XL",Men,Apparel,Topwear,Shirts,0,3505
32,39988,Gas Men Europa White Shoes,Gas,White,Winter,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Casual Shoes,0,5158
33,59051,Carlton London Women Black & Gold Toned Flats,Carlton London,Black,Winter,"36,37,38,39,40,41,42,43,44,45",Women,Footwear,Shoes,Flats,0,2399
34,20099,Diva Women Embroided Green Kurta,Diva,Green,Fall,"XS,S,M,L,XL",Women,Apparel,Topwear,Kurtas,0,8234
35,58183,Rocky S Women White Handbag,Rocky S,White,Summer,Unique,Women,Accessories,Bags,Handbags,0,1767
36,29742,Kiara Women Teal Handbag,Kiara,Teal,Summer,Unique,Women,Accessories,Bags,Handbags,0,2028
37,51658,Fossil Women Copper Chronograph Watch CH2589,Fossil,Copper,Winter,Unique,Women,Accessories,Watches,Watches,0,4056
38,3954,Jealous 21 Women's Pink T-shirt,Jealous 21,Pink,Summer,"XS,S,M,L,XL",Women,Apparel,Topwear,Tshirts,0,4390
39,18839,Peter England Men Formal Black Belt,Peter England,Black,Fall,Unique,Men,Accessories,Belts,Belts,0,9338
40,2886,Catwalk Women Leather Brown Flats,Catwalk,Brown,Winter,"36,37,38,39,40,41,42,43,44,45",Women,Footwear,Shoes,Flats,0,5893
41,23278,Maxima Ssteele Men Off White Watch,Maxima Ssteele,Off White,Winter,Unique,Men,Accessories,Watches,Watches,0,9292
42,28690,W Women Printed Beige Kurta,W,Beige,Summer,"XS,S,M,L,XL",Women,Apparel,Topwear,Kurtas,0,8933
43,8580,Scullers Men  Grey Waistcoat,Scullers,Grey,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Waistcoat,0,8013
44,3168,Nike Men's Incinerate MSL White Blue Shoe,Nike,White,Fall,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Sports Shoes,0,3112
45,18005,Puma Men Long Logo Black Bermuda,Puma,Black,Summer,"XS,S,M,L,XL",Men,Apparel,Bottomwear,Shorts,0,7541
46,17871,Levis Men Boxer Maroon Brief,Levis,Maroon,Winter,"XS,S,M,L,XL",Men,Apparel,Innerwear,Briefs,0,6735
47,9452,John Miller Men Stripes White Red Shirts,John Miller,Red,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Shirts,0,5986
48,38402,Baggit Women Hood Dabang Black Belt,Baggit,Black,Summer,Unique,Women,Accessories,Belts,Belts,0,7599
49,44984,Maxima Women White Dial Watch,Maxima,White,Winter,Unique,Women,Accessories,Watches,Watches,0,1275
50,10268,Clarks Men Hang Work Leather Black Formal Shoes,Clarks,Black,Fall,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Formal Shoes,0,8726
51,45856,Vishudh Women Brown Kurta,Vishudh,Brown,Summer,"XS,S,M,L,XL",Women,Apparel,Topwear,Kurtas,0,3652
52,32138,Playboy Men Blue Titanium Briefs,Playboy,Blue,Summer,"XS,S,M,L,XL",Men,Apparel,Innerwear,Briefs,0,2085
53,59435,Arrow Men Black Formal Shoes,Arrow,Black,Summer,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Formal Shoes,0,4443
54,5891,Puma Men's Stripe Polo Black T-shirt,Puma,Black,Summer,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,8055
55,38630,Nike Women Purple Polo T-shirt,Nike,Purple,Summer,"XS,S,M,L,XL",Women,Apparel,Topwear,Tshirts,0,3573
56,4943,Gini and Jony Boy's Kaleb White Brown Kidswear,Gini and Jony Boy's Kaleb White Brown Kidswear,White,Summer,"XS,S,M,L,XL",Men,Apparel,Topwear,Shirts,0,1521
57,11188,Carrera Men Dial steel finish strap Silver Watches,Carrera,Silver,Winter,Unique,Men,Accessories,Watches,Watches,0,4343
58,10866,Wrangler Men Motor Rider Red T-Shirts,Wrangler,Red,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,8489
59,59607,FNF Pink & Grey Wedding Collection Sari,FNF Pink & Grey Wedding Collection Sari,Grey,Fall,"XS,S,M,L,XL",Women,Apparel,Saree,Sarees,0,7373
60,15528,Puma Men Scribble Black Tshirts,Puma,Black,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,6175
61,45258,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,CASIO EDIFICE,Black,Winter,Unique,Men,Accessories,Watches,Watches,0,661
62,42841,French Connection Women Beige Handbag,French Connection,Beige,Summer,Unique,Women,Accessories,Bags,Handbags,0,4797
63,22198,Timberland Men Black Casual Shoes,Timberland,Black,Fall,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Casual Shoes,0,1495
64,29570,Vans Men Classic Slip-On Purple & Black Shoes,Vans,Purple,Summer,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Casual Shoes,0,8129
65,6628,ADIDAS Men's Lowell White Silver Shoe,ADIDAS,White,Summer,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Sports Shoes,0,9967
66,54924,Do U Speak Green Men Blue Shorts,Do U Speak Green,Blue,Summer,"XS,S,M,L,XL",Men,Apparel,Bottomwear,Shorts,0,1516
67,26538,ID Men Red Shoes,ID,Red,Fall,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Casual Shoes,0,8369
68,35913,Peperone Women Black & White Handbag,Peperone,Black,Summer,Unique,Women,Accessories,Bags,Handbags,0,6939
69,49495,Vans Men Khaki Shoes,Vans,Khaki,Summer,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Casual Shoes,0,8392
70,9660,Indigo Nation Men Reversible Bling Pink Shirts,Indigo Nation,Pink,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Shirts,0,7363
71,2288,Nike Women Black T-shirt,Nike,Black,Fall,"XS,S,M,L,XL",Women,Apparel,Topwear,Tshirts,0,8416
72,23876,ADIDAS Men Blue Sweatshirt,ADIDAS,Blue,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Sweatshirts,0,9029
73,18237,Manchester United Men Solid Red Tshirt,Manchester United,Red,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,1378
74,54118,Rocia Women Black Flats,Rocia,Black,Winter,"36,37,38,39,40,41,42,43,44,45",Women,Footwear,Shoes,Heels,0,9768
75,2872,Catwalk Women Leather Flats,Catwalk,Brown,Winter,"36,37,38,39,40,41,42,43,44,45",Women,Footwear,Shoes,Heels,0,5387
76,49653,Mineral Women Green Top,Mineral,Green,Summer,"XS,S,M,L,XL",Women,Apparel,Topwear,Tops,0,5359
77,8574,Crocs Dora Boots Pink Sandals,Crocs Dora Boots Pink Sandals,Pink,Fall,"36,37,38,39,40,41,42,43,44,45",Women,Footwear,Sandal,Sandals,0,6831
78,16957,Image Men Sunglasses,Image,Black,Winter,Unique,Men,Accessories,Eyewear,Sunglasses,0,9071
79,19123,Lotto Men XL Water Man Silver Slippers,Lotto,Silver,Fall,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Flip Flops,Flip Flops,0,9184
80,13419,United Colors of Benetton Men Solid Pink Polo T-shirts,United Colors of Benetton,Pink,Summer,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,7708
81,17885,Levis Men Comfort Style Grey Innerwear Vest,Levis,Grey,Summer,"XS,S,M,L,XL",Men,Apparel,Innerwear,Innerwear Vests,0,5776
82,43369,Reebok Men Black Possession Flip Flops,Reebok,Black,Summer,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Flip Flops,Flip Flops,0,2562
83,48781,Lucera Women Silver Pendant,Lucera,Silver,Summer,Unique,Women,Accessories,Jewellery,Pendant,0,564
84,44970,Maxima Men White Dial Analog Chronograph Watch,Maxima,White,Winter,Unique,Men,Accessories,Watches,Watches,0,8506
85,39524,Peter England Unisex Orange Sleeve Bag,Peter England,Orange,Summer,Unique,Unisex,Accessories,Bags,Laptop Bag,0,3068
86,33822,Puma Men Axis White & Grey Sports Shoes,Puma,White,Summer,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Sports Shoes,0,5963
87,58513,Tonga Women Maroon Top,Tonga,Off White,Summer,"XS,S,M,L,XL",Women,Apparel,Topwear,Tops,0,2527
88,25947,Femella Women Brown Scarf,Femella,Brown,Summer,Unique,Women,Accessories,Scarves,Scarves,0,3195
89,52029,Just Natural Unisex Charcoal Rain Jacket,Just Natural,Coffee Brown,Summer,"XS,S,M,L,XL",Unisex,Apparel,Topwear,Rain Jacket,0,5758
90,5865,ADIDAS Men's Twelve Faster T-shirt,ADIDAS,Black,Summer,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,6118
91,39716,Arrow Woman Women Blue Dress,Arrow Woman,Blue,Summer,"XS,S,M,L,XL",Women,Apparel,Dress,Dresses,0,7236
92,25349,Levis Men Red Brief,Levis,Red,Summer,"XS,S,M,L,XL",Men,Apparel,Innerwear,Briefs,0,891
93,11940,Ganuchi Men Casual Black Sandals,Ganuchi,Black,Summer,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Sandal,Sandals,0,6392
94,55802,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,SDL by Sweet Dreams,White,Summer,"XS,S,M,L,XL",Women,Apparel,Loungewear and Nightwear,Night suits,0,4061
95,29584,Indigo Nation Men Printed Black T-shirt,Indigo Nation,Black,Summer,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,6684
96,28456,Urban Yoga Women Blue Skirt With Leggings,Urban Yoga,Blue,Summer,"XS,S,M,L,XL",Women,Apparel,Bottomwear,Skirts,0,3599
97,34009,Gini and Jony Girls Black Top,Gini and Jony,Black,Summer,"XS,S,M,L,XL",Girls,Apparel,Topwear,Tops,0,6778
98,19311,Nike Men Air Rift MTR White Casual Shoe,Nike,White,Fall,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Casual Shoes,0,8892
99,42089,ADIDAS Men White Corona Sports Shoes,ADIDAS,White,Summer,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Sports Shoes,0,3604
100,22950,Fastrack Unisex Black Dial Watch 9915PP13,Fastrack,Black,Winter,Unique,Unisex,Accessories,Watches,Watches,0,7715
101,49461,Vans Men Blue Era Scilla Plaid Shoes,Vans,Blue,Summer,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Casual Shoes,0,2954
102,8746,Crocs Kids Navy Blue Clogs,Crocs Kids Navy Blue Clogs,Navy Blue,Summer,"36,37,38,39,40,41,42,43,44,45",Unisex,Footwear,Flip Flops,Flip Flops,0,9496
103,9694,Classic Polo Men Vulcan White Polo Tshirts,Classic Polo,White,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,3231
104,23882,Fila Men Destiny Grey Sports Shoes,Fila,Grey,Fall,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Sports Shoes,0,8654
105,34835,ADIDAS Men Blue Chill Sports Shoes,ADIDAS,Blue,Summer,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Sports Shoes,0,5556
106,15984,Turtle Check Men Yellow Shirt,Turtle Check,Yellow,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Shirts,0,8610
107,41268,Arrow Men Black Wallet,Arrow,Black,Summer,Unique,Men,Accessories,Wallets,Wallets,0,4340
108,11518,Catwalk Women Gun Metal Grey Heels,Catwalk,Grey,Winter,"36,37,38,39,40,41,42,43,44,45",Women,Footwear,Shoes,Heels,0,1528
109,14856,United Colors of Benetton Women Solid Beige Wallets,United Colors of Benetton,Beige,Summer,Unique,Women,Accessories,Wallets,Wallets,0,7885
110,33648,Lotto Men Ridge Brown Sandals,Lotto,Brown,Summer,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Sandal,Sandals,0,1002
111,59297,U.S. Polo Assn. Men White & Navy Blue Shirt,U.S. Polo Assn.,White,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Shirts,0,7410
112,28032,Jockey ELANCE Men Bikini White Brief 1005,Jockey ELANCE,White,Summer,"XS,S,M,L,XL",Men,Apparel,Innerwear,Briefs,0,9562
113,27846,Scullers For Her Charcoal Blazer,Scullers For Her Charcoal Blazer,Charcoal,Summer,"XS,S,M,L,XL",Women,Apparel,Topwear,Blazers,0,7438
114,26994,Jealous 21 Women Black Jeans,Jealous 21,Black,Summer,"XS,S,M,L,XL",Women,Apparel,Bottomwear,Jeans,0,4988
115,49839,iPanema Women Red Flip Flops,iPanema,Red,Winter,"36,37,38,39,40,41,42,43,44,45",Women,Footwear,Flip Flops,Flip Flops,0,706
116,31923,Fabindia Women Blue Silk Sling Bag,Fabindia,Blue,Summer,Unique,Women,Accessories,Bags,Handbags,0,5634
117,2618,Carlton London Women Silver Wedge Sandal,Carlton London,Silver,Spring,"36,37,38,39,40,41,42,43,44,45",Women,Footwear,Shoes,Flats,0,6477
118,54588,Sushilas Women Printed Green Kurta,Sushilas,Green,Summer,"XS,S,M,L,XL",Women,Apparel,Topwear,Kurtas,0,8221
119,49005,Lucera Women Silver Ring,Lucera,Silver,Summer,Unique,Women,Accessories,Jewellery,Ring,0,7535
120,8322,Doodle Boy's Route 66 Biker Blue Teen Kidswear,Doodle Boy's Route 66 Biker Blue Teen Kidswear,Blue,Fall,"XS,S,M,L,XL",Boys,Apparel,Topwear,Tshirts,0,1984
121,13841,ADIDAS Unisex Three Small Dials White Watches,ADIDAS,White,Winter,Unique,Unisex,Accessories,Watches,Watches,0,8358
122,28200,Ray-Ban Men Active Lifestyle Copper Sunglasses,Ray-Ban,Copper,Winter,Unique,Men,Accessories,Eyewear,Sunglasses,0,1363
123,12993,ADIDAS Kids Adispeed Black Sports Shoes,ADIDAS Kids Adispeed Black Sports Shoes,Black,Fall,"36,37,38,39,40,41,42,43,44,45",Unisex,Footwear,Shoes,Sports Shoes,0,3290
124,7158,Scullers Men  Green Check Shirt,Scullers,Green,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Shirts,0,7908
125,18495,Puma Men Fashion Cat White Slipper,Puma,White,Fall,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Sandal,Sandals,0,9255
126,8110,Fastrack Men Economy 2 Analg Black Watch,Fastrack,Black,Winter,Unique,Men,Accessories,Watches,Watches,0,5616
127,19547,United Colors of Benetton Men Solid Blue Sweatshirt,United Colors of Benetton,Blue,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Sweatshirts,0,6519
128,7964,Puma Men's Large Logo Graphic Black T-shirt,Puma,Black,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,2257
129,39140,Aneri Women Black & Maroon Salwar Suit,Aneri,Black,Summer,"XS,S,M,L,XL",Women,Apparel,Apparel Set,Kurta Sets,0,8074
130,20851,Spice Art Women Ribbon Embroidery Red Clutch,Spice Art,Red,Winter,Unique,Women,Accessories,Bags,Clutches,0,6874
131,41866,Estd. 1977 Men Beige & Green Sandals,Estd. 1977,Beige,Fall,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Sandal,Sandals,0,7392
132,58177,Rocky S Women Brown Handbag,Rocky S,Brown,Summer,Unique,Women,Accessories,Bags,Handbags,0,2178
133,44528,Coolers Men Black Sandals,Coolers,Black,Summer,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Sandal,Sandals,0,3742
134,16392,Levis Men Check Red Shirts,Levis,Red,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Shirts,0,5136
135,51455,Tonga Women Pink Printed Shrug,Tonga,Pink,Summer,"XS,S,M,L,XL",Women,Apparel,Topwear,Shrug,0,1559
136,50587,Chromozome Men Grey Briefs,Chromozome,Grey,Summer,"XS,S,M,L,XL",Men,Apparel,Innerwear,Briefs,0,7168
137,17240,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,U.S. Polo Assn.,Black,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,3657
138,47530,Portia Women Copper-Toned & Brown Sandals,Portia,Copper,Winter,"36,37,38,39,40,41,42,43,44,45",Women,Footwear,Shoes,Flats,0,6415
139,6617,Spykar Men Black and white Check Shirt,Spykar,Black,Summer,"XS,S,M,L,XL",Men,Apparel,Topwear,Shirts,0,3193
140,12732,Nike Unisex Swoosh Black Backpack,Nike,Black,Fall,Unique,Unisex,Accessories,Bags,Backpacks,0,4127
141,3365,Myntra Men's Brain Black T-shirt,Myntra,Black,Summer,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,5950
142,42042,Nike Men Air Relentless 2 MSL White Sports Shoes,Nike,White,Summer,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Sports Shoes,0,2163
143,23849,ADIDAS Men Black Anzo Breeze Casual Shoes,ADIDAS,Black,Fall,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Casual Shoes,0,6092
144,43190,Fastrack Women White Dial Watch,Fastrack,White,Winter,Unique,Women,Accessories,Watches,Watches,0,7892
145,48578,Revv Men Steel Bracelet,Revv,Steel,Summer,Unique,Men,Accessories,Jewellery,Bracelet,0,1806
146,30462,Lovable Women All Day Long Black Bra,Lovable,Black,Summer,"XS,S,M,L,XL",Women,Apparel,Innerwear,Bra,0,7276
147,18208,Manchester United Men Solid White Cap,Manchester United,White,Fall,Unique,Men,Accessories,Headwear,Caps,0,6364
148,54127,Rocia Women Black Heels,Rocia,Black,Winter,"36,37,38,39,40,41,42,43,44,45",Women,Footwear,Shoes,Heels,0,9974
149,10065,Puma Men ducati logo tee Yellow Tshirts,Puma,Yellow,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,8026
150,24250,Numero Uno Men White Casual Shoes,Numero Uno,White,Fall,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Casual Shoes,0,9401
151,32335,Q&Q Men Silver-Toned Dial Analogue Watch Q252J404Y,Q&Q,Silver,Winter,Unique,Men,Accessories,Watches,Watches,0,6075
152,25382,Levis Men White Innerwear Vest,Levis,White,Summer,"XS,S,M,L,XL",Men,Apparel,Innerwear,Innerwear Vests,0,6030
153,56670,Maxima Men Black Dial Watch,Maxima,Black,Winter,Unique,Men,Accessories,Watches,Watches,0,4913
154,5092,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,Wrangler,Purple,Summer,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,4248
155,10859,Wrangler Men Furious Rides Navy Blue T-Shirts,Wrangler,Navy Blue,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,1163
156,59638,FNF Green Wedding Collection Sari,FNF Green Wedding Collection Sari,Green,Fall,"XS,S,M,L,XL",Women,Apparel,Saree,Sarees,0,2498
157,15517,Rockport Men LLandro Red Casual Shoes,Rockport,Red,Fall,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Casual Shoes,0,8494
158,4140,Skechers Women Green Shoe,Skechers,Green,Winter,"36,37,38,39,40,41,42,43,44,45",Women,Footwear,Shoes,Casual Shoes,0,1995
159,36795,Maxima Men Ssteele Silver Dial Watch,Maxima,Silver,Winter,Unique,Men,Accessories,Watches,Watches,0,3804
160,40527,Titan Men Gold Dial Watch,Titan,Gold,Winter,Unique,Men,Accessories,Watches,Watches,0,4263
161,10257,John Miller Men Solid Type Black Trousers,John Miller,Black,Fall,"XS,S,M,L,XL",Men,Apparel,Bottomwear,Trousers,0,5732
162,24062,Locomotive Men Navy Blue Printed T-shirt,Locomotive,Navy Blue,Summer,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,2353
163,45869,Maxima Men Brown Dial Watch,Maxima,Brown,Winter,Unique,Men,Accessories,Watches,Watches,0,7085
164,11385,United Colors Of Benetton Women Light Winter Black Sweatshirts,United Colors Of Benetton,Black,Fall,"XS,S,M,L,XL",Women,Apparel,Topwear,Sweatshirts,0,1791
165,53130,Catwalk Women Brown Sandals,Catwalk,Brown,Winter,"36,37,38,39,40,41,42,43,44,45",Women,Footwear,Shoes,Flats,0,4081
166,21510,Kiara Women Graphiti White Handbag,Kiara,White,Winter,Unique,Women,Accessories,Bags,Handbags,0,8054
167,51667,Louis Philippe Men Grey Sunglasses,Louis Philippe,Grey,Winter,Unique,Men,Accessories,Eyewear,Sunglasses,0,7780
168,22395,Mark Taylor Men Striped Blue Shirt,Mark Taylor,Blue,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Shirts,0,2136
169,35322,Fabindia Women Anusuya Silver Earrings,Fabindia,Silver,Winter,Unique,Women,Accessories,Jewellery,Earrings,0,4196
170,6425,Lotto Unisex Canvas Black Check Shoe,Lotto,Black,Summer,"36,37,38,39,40,41,42,43,44,45",Unisex,Footwear,Shoes,Casual Shoes,0,1198
171,18806,Peter England Men Casual Tan Belt,Peter England,Tan,Summer,Unique,Men,Accessories,Belts,Belts,0,5237
172,23247,Arrow Men Formal Black Shoe,Arrow,Black,Fall,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Formal Shoes,0,1354
173,17072,Lino Perros Women Weaved  Grey Belt,Lino Perros,Grey,Winter,Unique,Women,Accessories,Belts,Belts,0,8664
174,31782,Lee Women Paula Blue Top,Lee,Blue,Summer,"XS,S,M,L,XL",Women,Apparel,Topwear,Tops,0,6355
175,42270,Vans Unisex Black & Grey Classic Shoes,Vans,Black,Summer,"36,37,38,39,40,41,42,43,44,45",Unisex,Footwear,Shoes,Casual Shoes,0,7892
176,12500,United Colors of Benetton Men Short Black Shirts,United Colors of Benetton,Black,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Shirts,0,7028
177,30650,Nike Men Printed Black T-shirt,Nike,Black,Summer,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,5749
178,21948,Murcia Women Casual Brown Handbag,Murcia,Brown,Winter,Unique,Women,Accessories,Bags,Handbags,0,5672
179,32563,ONLY Women directoire blue Trousers,ONLY,Blue,Summer,"XS,S,M,L,XL",Women,Apparel,Bottomwear,Trousers,0,2207
180,40143,Gini and Jony Girls Pretty Blossom Blue Top,Gini and Jony,Blue,Summer,"XS,S,M,L,XL",Girls,Apparel,Topwear,Tops,0,6291
181,10633,Carlton London Men Formal Brown Formal Shoes,Carlton London,Brown,Fall,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Formal Shoes,0,6035
182,24406,Vishudh Women Red Printed Kurta,Vishudh,Red,Summer,"XS,S,M,L,XL",Women,Apparel,Topwear,Kurtas,0,5431
183,4716,ADIDAS Unisex Response ST Analogue Black Watch,ADIDAS,Black,Winter,Unique,Unisex,Accessories,Watches,Watches,0,4010
184,21174,s.Oliver Women Stripes Beige Top,s.Oliver,Beige,Fall,"XS,S,M,L,XL",Women,Apparel,Topwear,Tops,0,702
185,15341,Nike Women Solid Pink Shorts,Nike,Pink,Fall,"XS,S,M,L,XL",Women,Apparel,Bottomwear,Shorts,0,4718
